name,address,phone,services,languages,link,source
Dental Clinic - Westminster,"186 Victoria Street, London N2 2PG",020 7372 6097,"Teeth Whitening, Pediatric, General Dentistry, Endodontics, Invisalign","English, Hindi",https://example-dental-1.co.uk,Sample Data
Dental Centre - Southwark,"130 London Road, London SE5 3DL",020 7464 5060,"Teeth Whitening, Pediatric, Veneers, Periodontics, Root Canal, Implants","English, German, Punjabi, Korean",https://example-dental-2.co.uk,Sample Data
Perfect Smile - Waltham Forest,"184 Queen Street, London E10 4TO",020 7424 9513,"Check-Up, Wisdom Teeth, Dental X-Ray, Bridge, Pediatric, Children, Restorative","English, Chinese, Arabic, Greek",https://example-dental-3.co.uk,Sample Data
Premier Dental - Enfield,"49 Main Road, London E1 1IP",020 7117 3699,"Oral Surgery, Invisalign, Root Canal, Teeth Whitening","English, Bengali",https://example-dental-4.co.uk,Sample Data
Dental Studio - Wandsworth,"283 Regent Street, London SE5 5VH",020 7033 8941,"Veneers, Oral Surgery, Bridge, Prosthodontics, Gum Treatment, Scale and Polish, Implants, Dentures","English, Mandarin",https://example-dental-5.co.uk,Sample Data
Dental Clinic - Hounslow,"263 Park Road, London SE1 8JM",020 7694 4496,"Dentures, Gum Treatment, Implants","English, Dutch",https://example-dental-6.co.uk,Sample Data
Dental Clinic - Tower Hamlets,"254 Market Street, London NW5 3LY",020 7120 6197,"Cleaning, Cosmetic Dentistry, Wisdom Teeth, Periodontics, Orthodontics, Fillings","English, Urdu",https://example-dental-7.co.uk,Sample Data
Modern Dental - Fulham,"20 Queen Street, London SW2 1MZ",020 7196 6301,"Crown, Implants, Scale and Polish, Emergency, Veneers, Prosthodontics, Cleaning","English, Vietnamese",https://example-dental-8.co.uk,Sample Data
Dental Practice - Sutton,"221 Regent Street, London EC3 2XG",020 7295 7386,"Root Canal, Crown, Oral Surgery","English, French, Cantonese, Korean, Portuguese",https://example-dental-9.co.uk,Sample Data
Smile Dental - Fulham,"64 Station Road, London E4 1TG",020 7275 4624,"Restorative, Teeth Whitening, Crown, Veneers","English, Greek, Korean, Swedish, Chinese",https://example-dental-10.co.uk,Sample Data
Bright Smile - Harrow,"6 Regent Street, London N1 4GF",020 7426 7533,"Veneers, Dental X-Ray, Implants, Extraction","English, Turkish",https://example-dental-11.co.uk,Sample Data
Dental Practice - Newham,"72 Oxford Street, London N2 2UD",020 7615 5020,"Braces, Check-Up, Preventive, Oral Surgery, Restorative, Veneers, Scale and Polish, Root Canal","English, Spanish, Russian, Swedish",https://example-dental-12.co.uk,Sample Data
Elite Dental - Tower Hamlets,"213 Bond Street, London W2 6AR",020 7909 8052,"Teeth Whitening, Endodontics, Cosmetic Dentistry, Wisdom Teeth, Implants, Fillings, Periodontics","English, Swedish",https://example-dental-13.co.uk,Sample Data
Smile Dental - Wandsworth,"221 Station Road, London EC4 5SN",020 7180 4514,"Braces, Gum Treatment, Veneers, Crown, Emergency, Scale and Polish, Prosthodontics","English, Romanian, Norwegian, Mandarin",https://example-dental-14.co.uk,Sample Data
Bright Smile - Fulham,"283 Main Road, London N3 1DF",020 7914 9142,"Bridge, Cleaning, Scale and Polish, Root Canal, Implants, Dental X-Ray, Crown, Extraction","English, Italian, Bengali, Korean",https://example-dental-15.co.uk,Sample Data
Modern Dental - Richmond,"247 Queen Street, London SW1 8ZA",020 7755 6610,"Orthodontics, Endodontics, Dental Hygiene, Braces","English, Thai, Hindi",https://example-dental-16.co.uk,Sample Data
Dental Centre - Lewisham,"255 Church Street, London W8 5TJ",020 7060 4636,"Scale and Polish, Invisalign, General Dentistry, Check-Up","English, Urdu, Cantonese, French",https://example-dental-17.co.uk,Sample Data
Bright Smile - Kingston,"33 Church Street, London N2 6KC",020 7146 7417,"Root Canal, Cleaning, General Dentistry, Check-Up, Children, Teeth Whitening, Cosmetic Dentistry, Braces","English, Punjabi",https://example-dental-18.co.uk,Sample Data
